,problem_set,orientation,direction,target,solution,validity,generalizability,explainability_size,explainabilty_repeated_terms,explainabilty_cognitive_chunks,time_to_generate
6,0,Columns,Addition,12(exp_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,13(IMDB_Rating_norm_sum),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,13(IMDB_Rating_norm_sum),(all_numeric) (no extensions)y =  + 0.000 * IMDB_Rating,1.0,0.0,2.0,0.0,1.0,0.0015540122985839844
2,0,Columns,Addition,13(IMDB_Rating_norm_sum),(all_numeric) y = 0.001 + ε * IMDB_Rating^2,0.9992673096982664,0.0,2.0,0.0,3.0,0.0015940666198730469
3,0,Columns,Addition,13(IMDB_Rating_norm_sum),(all_numeric) y = 0.000 + ε * IMDB_Rating^2 + ε * IMDB_Rating^3,0.9999989880043216,0.0,3.0,0.0,4.0,0.0022149085998535156
4,0,Columns,Addition,13(IMDB_Rating_norm_sum),(all_numeric) y =  + 0.000 * IMDB_Rating,1.0,0.0,2.0,0.0,1.0,0.002028942108154297
5,0,Columns,Addition,13(IMDB_Rating_norm_sum),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,14(IMDB_Rating_sub_mean),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,14(IMDB_Rating_sub_mean),(all_numeric) (no extensions)y = -7.953 + 1.000 * IMDB_Rating,1.0,0.9956884028297732,2.0,0.0,1.0,0.0015282630920410156
2,0,Columns,Addition,14(IMDB_Rating_sub_mean),(all_numeric) y = -7.953 + 1.000 * IMDB_Rating,1.0,0.9956884028297733,2.0,1.0,2.0,0.001856088638305664
3,0,Columns,Addition,14(IMDB_Rating_sub_mean),(all_numeric) y = -5.215 + 0.122 * IMDB_Rating^2 + -0.005 * IMDB_Rating^3,0.9999989880043213,0.9956928222354857,3.0,0.0,4.0,0.002246856689453125
4,0,Columns,Addition,14(IMDB_Rating_sub_mean),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,15(IMDB_Rating_norm_minmax),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,15(IMDB_Rating_norm_minmax),(all_numeric) (no extensions)y = -4.471 + 0.588 * IMDB_Rating,1.0,0.7611472188144094,2.0,0.0,1.0,0.0015411376953125
2,0,Columns,Addition,15(IMDB_Rating_norm_minmax),(all_numeric) y = -4.471 + 0.588 * IMDB_Rating,1.0,0.7611472188144023,2.0,1.0,2.0,0.0018558502197265625
3,0,Columns,Addition,15(IMDB_Rating_norm_minmax),(all_numeric) y = -2.860 + 0.071 * IMDB_Rating^2 + -0.003 * IMDB_Rating^3,0.9999989880043213,0.7612325054441365,3.0,0.0,4.0,0.002257108688354492
4,0,Columns,Addition,15(IMDB_Rating_norm_minmax),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,16(is_top_movie),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,16(is_top_movie),"(all_numeric) transform(IMDB_Rating):
  if IMDB_Rating <= 9.099999904632568:
    new value: 0
  else (IMDB_Rating > 9.099999904632568): 
    new value: 1
",1.0,1.0,3.0,1.0,1.0,0.0012180805206298828
2,0,Columns,Addition,16(is_top_movie),(all_numeric) (no extensions)y = -0.325 + 0.041 * IMDB_Rating,0.05360699319818962,0.0,2.0,0.0,1.0,0.0021190643310546875
3,0,Columns,Addition,16(is_top_movie),(all_numeric) y = 12.834 + -3.212 * IMDB_Rating + 0.201 * IMDB_Rating^2,0.2984463694182832,0.0,3.0,0.0,3.0,0.002290010452270508
4,0,Columns,Addition,16(is_top_movie),(all_numeric) y = -268.966 + 99.785 * IMDB_Rating + -12.327 * IMDB_Rating^2 + 0.507 * IMDB_Rating^3,0.6376857804904513,0.0,4.0,0.0,4.0,0.0018930435180664062
5,0,Columns,Addition,16(is_top_movie),(all_numeric) y = -0.325 + 0.041 * IMDB_Rating,0.053606993198189845,0.0,2.0,0.0,1.0,0.0021708011627197266
6,0,Columns,Addition,16(is_top_movie),(all_numeric) y = -141.801 + -20.033 * IMDB_Rating + 144.345 * log(IMDB_Rating) + 0.001 * exp(IMDB_Rating),0.6870853230632854,0.0,4.0,1.0,4.0,0.0019359588623046875
7,0,Columns,Addition,16(is_top_movie),"(all_textual) t = Series_Title,Released_Year,Genre,Runtime,Overview
t = f_number_of_words(t,4)
",1.0,1.0,2.0,1.0,5.0,1.54414701461792
0,0,Columns,Addition,17(Rating_on_1_to_2_scale),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,17(Rating_on_1_to_2_scale),"(all_numeric) transform(IMDB_Rating):
  if IMDB_Rating <= 7.950000047683716:
    new value: 1
  else (IMDB_Rating > 7.950000047683716): 
    new value: 0
",1.0,0.0,3.0,1.0,1.0,0.0012679100036621094
2,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_numeric) (no extensions)y = 11.755 + -1.411 * IMDB_Rating,0.6296980516287767,0.0,2.0,0.0,1.0,0.002375364303588867
3,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_numeric) y = 99.315 + -23.056 * IMDB_Rating + 1.336 * IMDB_Rating^2,0.7383606287487923,0.0,3.0,0.0,3.0,0.002397775650024414
4,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_numeric) y = 36.393 + -1.476 * IMDB_Rating^2 + 0.114 * IMDB_Rating^3,0.7399346965489068,0.0,3.0,0.0,4.0,0.0028820037841796875
5,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_numeric) y = 11.755 + -1.411 * IMDB_Rating,0.6296980516287769,0.0,2.0,0.0,1.0,0.0020983219146728516
6,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_numeric) y = 28.283 + -3.739 * IMDB_Rating + 0.001 * exp(IMDB_Rating),0.7393821280525028,0.0,3.0,1.0,3.0,0.002808094024658203
7,0,Columns,Addition,17(Rating_on_1_to_2_scale),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_numeric) (no extensions)y = -65.558 + 17.206 * IMDB_Rating,0.9993499496338729,0.9995516876438,2.0,0.0,1.0,0.0016252994537353516
2,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_numeric) y = 0.000 + 1.000 * IMDB_Rating + 1.000 * IMDB_Rating^2,1.0,1.0,3.0,0.0,3.0,0.0017621517181396484
3,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_numeric) y = 2.738 + 1.122 * IMDB_Rating^2 + -0.005 * IMDB_Rating^3,0.9999999965838787,0.9999999971866459,3.0,0.0,4.0,0.002237081527709961
4,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_numeric) y = -65.558 + 17.206 * IMDB_Rating,0.9993499496338728,0.9995516876438001,2.0,0.0,1.0,0.0022504329681396484
5,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_numeric) y = 57.308 + 30.562 * IMDB_Rating + -110.643 * log(IMDB_Rating) + ε * exp(IMDB_Rating),0.9999999851555229,0.9999999879873678,4.0,1.0,4.0,0.0019631385803222656
6,1,Columns,Addition,6(IMDB_Rating_power_2_plus_IMDB_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,7(log_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,7(log_Rating),(all_numeric) (no extensions)y = 1.090 + 0.124 * IMDB_Rating,0.9993088014166169,0.9995198794196762,2.0,0.0,1.0,0.0015239715576171875
2,1,Columns,Addition,7(log_Rating),(all_numeric) y = 0.605 + 0.244 * IMDB_Rating + -0.007 * IMDB_Rating^2,0.9999990584889922,0.99999925727518,3.0,0.0,3.0,0.0021779537200927734
3,1,Columns,Addition,7(log_Rating),(all_numeric) y = 1.272 + 0.022 * IMDB_Rating^2 + -0.001 * IMDB_Rating^3,0.9999912928453346,0.9999930176481373,3.0,0.0,4.0,0.002579927444458008
4,1,Columns,Addition,7(log_Rating),(all_numeric) y = 1.090 + 0.124 * IMDB_Rating,0.9993088014166169,0.9995198794196761,2.0,0.0,1.0,0.002140045166015625
5,1,Columns,Addition,7(log_Rating),(all_numeric) y = 1.001 + 0.136 * IMDB_Rating + ε * exp(IMDB_Rating),0.9999724051065493,0.9999770618625912,3.0,1.0,3.0,0.0021889209747314453
6,1,Columns,Addition,7(log_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,8(1_div_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,8(1_div_Rating),(all_numeric) (no extensions)y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274493,2.0,0.0,1.0,0.0015881061553955078
2,1,Columns,Addition,8(1_div_Rating),(all_numeric) y = 0.366 + -0.045 * IMDB_Rating + 0.002 * IMDB_Rating^2,0.9999919096247933,0.9999936508727101,3.0,0.0,3.0,0.0023000240325927734
3,1,Columns,Addition,8(1_div_Rating),(all_numeric) y = 0.244 + -0.004 * IMDB_Rating^2 + 0.000 * IMDB_Rating^3,0.9999667544823012,0.9999734870332401,3.0,0.0,4.0,0.0022559165954589844
4,1,Columns,Addition,8(1_div_Rating),(all_numeric) y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274492,2.0,0.0,1.0,0.0020341873168945312
5,1,Columns,Addition,8(1_div_Rating),(all_numeric) y = 0.269 + -0.018 * IMDB_Rating + ε * exp(IMDB_Rating),0.9998734565780943,0.9998953752762796,3.0,1.0,3.0,0.0022220611572265625
6,1,Columns,Addition,8(1_div_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,9(sqrt_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,9(sqrt_Rating),(all_numeric) (no extensions)y = 1.422 + 0.176 * IMDB_Rating,0.9998246014560829,0.9998783855074523,2.0,0.0,1.0,0.001661062240600586
2,1,Columns,Addition,9(sqrt_Rating),(all_numeric) y = 1.074 + 0.262 * IMDB_Rating + -0.005 * IMDB_Rating^2,0.9999998645755995,0.9999998928381167,3.0,0.0,3.0,0.0022649765014648438
3,1,Columns,Addition,9(sqrt_Rating),(all_numeric) y = 1.791 + 0.026 * IMDB_Rating^2 + -0.001 * IMDB_Rating^3,0.9999965206691852,0.9999972007952881,3.0,0.0,4.0,0.0022652149200439453
4,1,Columns,Addition,9(sqrt_Rating),(all_numeric) y = 1.422 + 0.176 * IMDB_Rating,0.9998246014560829,0.9998783855074523,2.0,0.0,1.0,0.0021970272064208984
5,1,Columns,Addition,9(sqrt_Rating),(all_numeric) y = 1.358 + 0.185 * IMDB_Rating + ε * exp(IMDB_Rating),0.9999936038504224,0.9999946666909106,3.0,1.0,3.0,0.0022029876708984375
6,1,Columns,Addition,9(sqrt_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,10(exp_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,10(exp_Rating),(all_numeric) (no extensions)y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274493,2.0,0.0,1.0,0.0014917850494384766
2,1,Columns,Addition,10(exp_Rating),(all_numeric) y = 0.366 + -0.045 * IMDB_Rating + 0.002 * IMDB_Rating^2,0.9999919096247933,0.9999936508727101,3.0,0.0,3.0,0.002187967300415039
3,1,Columns,Addition,10(exp_Rating),(all_numeric) y = 0.244 + -0.004 * IMDB_Rating^2 + 0.000 * IMDB_Rating^3,0.9999667544823012,0.9999734870332401,3.0,0.0,4.0,0.0022652149200439453
4,1,Columns,Addition,10(exp_Rating),(all_numeric) y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274492,2.0,0.0,1.0,0.0021848678588867188
5,1,Columns,Addition,10(exp_Rating),(all_numeric) y = 0.269 + -0.018 * IMDB_Rating + ε * exp(IMDB_Rating),0.9998734565780943,0.9998953752762796,3.0,1.0,3.0,0.002195119857788086
6,1,Columns,Addition,10(exp_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,11(IMDB_Rating_norm_sum),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,11(IMDB_Rating_norm_sum),(all_numeric) (no extensions)y =  + 0.000 * IMDB_Rating,1.0,0.0,2.0,0.0,1.0,0.0015361309051513672
2,1,Columns,Addition,11(IMDB_Rating_norm_sum),(all_numeric) y = 0.001 + ε * IMDB_Rating^2,0.9992673096982664,0.0,2.0,0.0,3.0,0.001718759536743164
3,1,Columns,Addition,11(IMDB_Rating_norm_sum),(all_numeric) y = 0.000 + ε * IMDB_Rating^2 + ε * IMDB_Rating^3,0.9999989880043216,0.0,3.0,0.0,4.0,0.002328157424926758
4,1,Columns,Addition,11(IMDB_Rating_norm_sum),(all_numeric) y =  + 0.000 * IMDB_Rating,1.0,0.0,2.0,0.0,1.0,0.002074003219604492
5,1,Columns,Addition,11(IMDB_Rating_norm_sum),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,12(IMDB_Rating_sub_mean),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,12(IMDB_Rating_sub_mean),(all_numeric) (no extensions)y = -7.953 + 1.000 * IMDB_Rating,1.0,0.9956884028297732,2.0,0.0,1.0,0.0014841556549072266
2,1,Columns,Addition,12(IMDB_Rating_sub_mean),(all_numeric) y = -7.953 + 1.000 * IMDB_Rating,1.0,0.9956884028297733,2.0,1.0,2.0,0.0018460750579833984
3,1,Columns,Addition,12(IMDB_Rating_sub_mean),(all_numeric) y = -5.215 + 0.122 * IMDB_Rating^2 + -0.005 * IMDB_Rating^3,0.9999989880043213,0.9956928222354857,3.0,0.0,4.0,0.002257823944091797
4,1,Columns,Addition,12(IMDB_Rating_sub_mean),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,13(IMDB_Rating_norm_minmax),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,13(IMDB_Rating_norm_minmax),(all_numeric) (no extensions)y = -4.471 + 0.588 * IMDB_Rating,1.0,0.7611472188144094,2.0,0.0,1.0,0.0015299320220947266
2,1,Columns,Addition,13(IMDB_Rating_norm_minmax),(all_numeric) y = -4.471 + 0.588 * IMDB_Rating,1.0,0.7611472188144023,2.0,1.0,2.0,0.001974821090698242
3,1,Columns,Addition,13(IMDB_Rating_norm_minmax),(all_numeric) y = -2.860 + 0.071 * IMDB_Rating^2 + -0.003 * IMDB_Rating^3,0.9999989880043213,0.7612325054441365,3.0,0.0,4.0,0.002285003662109375
4,1,Columns,Addition,13(IMDB_Rating_norm_minmax),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,1,Columns,Addition,14(is_top_movie),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,14(is_top_movie),"(all_numeric) transform(IMDB_Rating):
  if IMDB_Rating <= 9.099999904632568:
    new value: 0
  else (IMDB_Rating > 9.099999904632568): 
    new value: 1
",1.0,1.0,3.0,1.0,1.0,0.0012080669403076172
2,1,Columns,Addition,14(is_top_movie),(all_numeric) (no extensions)y = -0.325 + 0.041 * IMDB_Rating,0.05360699319818962,0.0,2.0,0.0,1.0,0.001936197280883789
3,1,Columns,Addition,14(is_top_movie),(all_numeric) y = 12.834 + -3.212 * IMDB_Rating + 0.201 * IMDB_Rating^2,0.2984463694182832,0.0,3.0,0.0,3.0,0.0024008750915527344
4,1,Columns,Addition,14(is_top_movie),(all_numeric) y = -268.966 + 99.785 * IMDB_Rating + -12.327 * IMDB_Rating^2 + 0.507 * IMDB_Rating^3,0.6376857804904513,0.0,4.0,0.0,4.0,0.002363920211791992
5,1,Columns,Addition,14(is_top_movie),(all_numeric) y = -0.325 + 0.041 * IMDB_Rating,0.053606993198189845,0.0,2.0,0.0,1.0,0.002331972122192383
6,1,Columns,Addition,14(is_top_movie),(all_numeric) y = -141.801 + -20.033 * IMDB_Rating + 144.345 * log(IMDB_Rating) + 0.001 * exp(IMDB_Rating),0.6870853230632854,0.0,4.0,1.0,4.0,0.0023539066314697266
7,1,Columns,Addition,14(is_top_movie),"(all_textual) t = Series_Title,Released_Year,Genre,Runtime,Overview
t = f_number_of_words(t,4)
",1.0,1.0,2.0,1.0,5.0,1.545302152633667
0,1,Columns,Addition,15(Rating_on_1_to_2_scale),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,15(Rating_on_1_to_2_scale),"(all_numeric) transform(IMDB_Rating):
  if IMDB_Rating <= 7.950000047683716:
    new value: 1
  else (IMDB_Rating > 7.950000047683716): 
    new value: 0
",1.0,0.0,3.0,1.0,1.0,0.0012600421905517578
2,1,Columns,Addition,15(Rating_on_1_to_2_scale),(all_numeric) (no extensions)y = 11.755 + -1.411 * IMDB_Rating,0.6296980516287767,0.0,2.0,0.0,1.0,0.002185821533203125
3,1,Columns,Addition,15(Rating_on_1_to_2_scale),(all_numeric) y = 99.315 + -23.056 * IMDB_Rating + 1.336 * IMDB_Rating^2,0.7383606287487923,0.0,3.0,0.0,3.0,0.0024466514587402344
